Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
0,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702579434722,1991702579700312,0
1,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702579710272,1991702579957210,0
2,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702579966690,1991702580220430,0
3,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702580230310,1991702580487760,0
4,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702580497080,1991702580753290,0
5,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702580763050,1991702581020280,0
6,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702581030960,1991702581283940,0
7,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702581294420,1991702581528810,0
8,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702581539330,1991702581772950,0
9,2,1,2112626,2112626,98304,256,25088,0,56,128,32,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorENS3_11ColumnMajorES4_DB8_S6_ffS6_NS_16tensor_operation12element_wise11PassThroughES9_S9_LNS7_6device18GemmSpecializationE0ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi64ELi16ELi16ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSD_IJLi1ELi0ELi2EEEESF_Li2ELi16ELi16ELb0ELi1ESE_SF_SF_Li2ELi8ELi8ELb0ELi1ELi1ELi1ENSD_IJLi1ELi64ELi1ELi4EEEELi16ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES6_S6_EELb1EEEvNT_8ArgumentE.kd",1991702581783110,1991702582015840,0
