Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
0,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310062831877,1991310063174697,0
1,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310063182057,1991310063522565,0
2,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310063530045,1991310063913185,0
3,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310063920665,1991310064273554,0
4,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310064281514,1991310064625404,0
5,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310064632924,1991310064911484,0
6,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310064918764,1991310065199283,0
7,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310065206483,1991310065500523,0
8,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310065508523,1991310065828603,0
9,2,1,2086416,2086416,98304,256,32768,0,72,128,48,64,"_ZN2ck27kernel_gemm_xdl_cshuffle_v1INS_43GridwiseGemm_k0mk1_k0nk1_mn_xdl_cshuffle_v1INS_13tensor_layout4gemm8RowMajorES4_S4_DB8_S5_ffS5_NS_16tensor_operation12element_wise11PassThroughES8_S8_LNS6_6device18GemmSpecializationE1ELNS_25InMemoryDataOperationEnumE0ELi1ELi256ELi256ELi128ELi32ELi8ELi2ELi32ELi32ELi4ELi2ENS_8SequenceIJLi4ELi64ELi1EEEENSC_IJLi1ELi0ELi2EEEESE_Li2ELi8ELi8ELb0ELi1ENSC_IJLi8ELi32ELi1EEEENSC_IJLi0ELi2ELi1EEEESG_Li1ELi4ELi2ELb0ELi0ELi1ELi2ENSC_IJLi1ELi16ELi1ELi16EEEELi8ELNS_13LoopSchedulerE0ELNS_15PipelineVersionE0ES5_S5_EELb1EEEvNT_8ArgumentE.kd",1991310065836843,1991310066156522,0
